x,y,value
1,Category 1,
1,Category 2,
1,Category 3,40
1,Category 4,
1,Category 5,15
1,Category 6,
1,Category 7,97
1,Category 8,41
1,Category 9,5
1,Category 10,
1,Category 11,
1,Category 12,43
1,Category 13,21
1,Category 14,
1,Category 15,10
1,Category 16,60
1,Category 17,12
1,Category 18,87
1,Category 19,
1,Category 20,
1,Category 21,67
1,Category 22,61
1,Category 23,
1,Category 24,
1,Category 25,64
1,Category 26,
1,Category 27,74
1,Category 28,
1,Category 29,43
1,Category 30,
1,Category 31,1
1,Category 32,
1,Category 33,14
1,Category 34,51
1,Category 35,67
1,Category 36,41
1,Category 37,52
1,Category 38,30
1,Category 39,63
1,Category 40,53
1,Category 41,84
1,Category 42,72
1,Category 43,19
1,Category 44,3
1,Category 45,42
1,Category 46,76
1,Category 47,14
1,Category 48,37
1,Category 49,
1,Category 50,33
1,Category 51,91
1,Category 52,23
1,Category 53,27
1,Category 54,13
1,Category 55,21
1,Category 56,79
1,Category 57,
1,Category 58,58
1,Category 59,77
1,Category 60,25
1,Category 61,62
1,Category 62,45
1,Category 63,
1,Category 64,59
1,Category 65,67
1,Category 66,
1,Category 67,41
1,Category 68,18
1,Category 69,81
1,Category 70,94
1,Category 71,
1,Category 72,34
1,Category 73,46
1,Category 74,56
1,Category 75,
1,Category 76,73
1,Category 77,25
1,Category 78,30
1,Category 79,47
1,Category 80,32
1,Category 81,75
1,Category 82,9
1,Category 83,
1,Category 84,90
1,Category 85,89
1,Category 86,0
1,Category 87,2
1,Category 88,94
1,Category 89,44
1,Category 90,84
1,Category 91,90
1,Category 92,68
1,Category 93,95
1,Category 94,23
1,Category 95,70
1,Category 96,
1,Category 97,52
1,Category 98,97
1,Category 99,91
1,Category 100,38
1,Category 101,
1,Category 102,
1,Category 103,23
1,Category 104,1
1,Category 105,97
1,Category 106,30
1,Category 107,61
1,Category 108,
1,Category 109,49
1,Category 110,51
1,Category 111,75
1,Category 112,
1,Category 113,32
1,Category 114,29
1,Category 115,91
1,Category 116,15
1,Category 117,84
1,Category 118,16
1,Category 119,
1,Category 120,
1,Category 121,71
1,Category 122,33
1,Category 123,66
1,Category 124,31
1,Category 125,1
1,Category 126,68
1,Category 127,89
1,Category 128,67
1,Category 129,88
1,Category 130,
1,Category 131,
1,Category 132,4
1,Category 133,41
1,Category 134,81
1,Category 135,
1,Category 136,97
1,Category 137,34
1,Category 138,38
1,Category 139,27
1,Category 140,65
1,Category 141,62
1,Category 142,64
1,Category 143,73
1,Category 144,42
1,Category 145,
1,Category 146,95
1,Category 147,41
1,Category 148,56
1,Category 149,12
1,Category 150,39
1,Category 151,16
1,Category 152,
1,Category 153,96
